model,accuracy,weighted_f1,weighted_f1_ci_lower,weighted_f1_ci_upper,macro_auroc,macro_auroc_ci_lower,macro_auroc_ci_upper
ALBERT,0.7740338853988197,0.7777117479904891,0.7694491904593393,0.7853594722310319,0.9680815503575406,0.9659999247589518,0.9699725911758965
GRU+Adam+EDA,0.772606129830573,0.7714907114941405,0.762759190387313,0.779981617662758,0.9563242542292866,0.9528707204264127,0.9594102564519368
GRU+AdamW,0.7601370645345517,0.7610633536970324,0.7524584142719438,0.7687405776196512,0.9565962750153328,0.9539631919882948,0.9591890272880476
GRU+Adam,0.7607081667618504,0.7582760453154338,0.7495452380907555,0.7664578813988311,0.9573256558495721,0.9545225815698939,0.9598874480948026
Logistic Regression,0.7431943651246906,0.7375183786058441,0.7286072414605941,0.7460896243692358,0.9453972768718132,0.9419806650806863,0.9483289235938076
